message,output
turn on the lights,ON
Please I want you to turn off the lights,OFF
switch on the bulb,ON
kill the lights,OFF
can you make it bright in here,ON
turn the light off,OFF
power up the esp bulb,ON
shut down the light,OFF
activate the lamp,ON
deactivate the light,OFF
it is too dark in here,ON
go dark,OFF
let there be light,ON
extinguish the light,OFF
washa taa,ON
zima taa,OFF
tafadhali washa stima,ON
tafadhali zima stima,OFF
kuna giza hapa,ON
washa bulb,ON
zima bulb ya esp,OFF
weka mwangaza,ON
ondoa mwangaza,OFF
washa taa tafadhali,ON
zima taa sasa hivi,OFF
bofya washa,ON
bofya zima,OFF
choma taa,ON
zima stima mara moja,OFF
lights on,ON
lights off,OFF
washa stima,ON
zima,OFF
washa,ON
